Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
303.4,311.6,1446,50.0,163,0
303.4,311.7,1673,32.2,166,0
303.4,311.7,1515,44.2,168,0
303.4,311.8,1564,35.9,171,0
303.5,311.8,1451,45.2,173,0
303.4,311.8,1693,28.3,175,0
303.4,311.7,1476,42.3,180,0
303.4,311.6,1712,30.1,182,0
303.4,311.6,1425,45.4,184,0
303.3,311.6,1337,56.8,187,1
303.4,311.7,1690,34.9,189,0
303.4,311.7,1353,44.1,192,1
303.5,311.8,1927,21.9,195,0
303.4,311.8,1391,42.7,197,0
303.4,311.8,1366,50.9,200,1
303.4,311.9,1771,31.6,202,0
303.4,311.8,1515,42.6,204,0
303.4,311.8,2133,18.3,207,0
303.4,311.8,1341,47.0,210,1
303.4,311.7,1406,47.1,213,0
303.4,311.8,1306,61.0,215,1
303.3,311.7,1508,35.5,217,0
303.3,311.6,1301,45.1,219,1
303.3,311.7,1539,38.5,221,0
303.3,311.6,1484,44.6,223,0
303.2,311.5,1507,39.2,225,0
303.2,311.5,1544,42.5,227,0
303.2,311.5,1513,37.9,0,0
303.2,311.5,1336,58.2,2,1
303.2,311.4,2102,19.0,5,0
303.2,311.4,1351,53.8,8,1
303.3,311.5,1601,35.2,10,0
303.2,311.3,1393,52.9,12,0
303.3,311.3,1592,33.7,14,0
303.3,311.3,1409,51.8,16,0
303.3,311.3,1393,47.4,18,0
303.2,311.2,1475,43.1,20,0
303.2,311.2,1427,45.6,25,0
303.3,311.2,1763,27.3,27,0
303.2,311.2,1363,46.7,29,1
303.2,311.2,1404,50.9,31,0
303.2,311.2,1688,31.9,33,0
303.3,311.4,1510,37.3,36,0
303.3,311.3,1502,39.5,38,0
303.2,311.4,1607,36.6,43,0
303.3,311.5,1384,54.8,48,0
303.4,311.7,1295,51.3,51,1
303.4,311.7,1991,19.0,53,0
303.4,311.6,1497,42.8,58,0
303.5,311.6,1465,48.7,60,0
303.5,311.6,1361,46.5,62,1
303.6,311.7,1546,38.5,64,0
303.7,311.9,1332,52.7,66,1
303.7,312.0,2663,11.4,71,1
303.7,312.1,1443,45.9,74,0
303.7,312.0,1402,48.6,76,0
303.7,312.0,1892,22.5,79,0
303.6,312.0,1645,35.7,81,0
303.6,311.9,1473,50.1,84,0
303.6,312.0,1309,52.9,86,1
303.6,311.9,1544,37.1,88,0
303.5,311.9,1344,49.3,93,1
303.6,311.9,1617,36.0,95,0
303.6,312.0,1435,37.9,98,0
303.6,312.0,1391,50.3,101,0
303.6,312.0,1827,23.3,103,0
303.5,312.0,1761,25.8,105,0
303.5,312.1,1522,36.4,107,0
303.5,312.2,1818,23.6,109,0
303.6,312.2,1371,54.6,112,1
303.7,312.3,1511,38.9,117,0
303.7,312.4,1404,46.6,119,0
303.7,312.3,1384,45.9,121,0
303.8,312.5,1368,52.6,123,0
303.7,312.5,1641,36.0,125,0
303.9,312.6,1642,32.3,127,0
303.9,312.7,1401,50.0,129,0
303.8,312.6,1577,41.3,134,0
303.7,312.6,1396,44.1,136,0
303.7,312.6,1514,35.5,138,0
303.8,312.8,1646,35.8,143,0
303.8,312.8,1443,40.7,145,0
303.7,312.7,1469,48.5,147,0
303.7,312.7,1564,40.2,150,0
303.6,312.6,1498,40.2,155,0
303.6,312.6,1699,27.9,160,0
303.6,312.5,1431,49.0,162,0
303.5,312.4,1390,47.3,164,0
303.5,312.5,1380,46.1,166,0
303.5,312.5,1457,46.4,168,0
303.5,312.5,1418,42.2,170,0
303.5,312.5,1353,51.0,172,0
303.5,312.4,1574,32.7,175,0
303.5,312.4,1318,54.2,177,0
303.6,312.5,1710,31.4,180,0
303.7,312.6,1621,38.8,182,0
303.6,312.6,1606,33.6,184,0
303.6,312.5,1375,54.0,186,0
303.5,312.4,1503,36.5,191,0
303.5,312.3,1404,48.6,193,0
303.4,312.2,1656,32.7,195,0
303.4,312.1,1499,39.4,197,0
303.4,312.0,1748,28.4,200,0
303.4,311.9,1531,37.9,203,0
303.3,311.8,1536,40.6,205,0
303.4,311.8,1401,53.0,208,1
303.4,311.9,1534,33.2,210,0
303.4,312.0,1521,35.9,215,1
303.5,312.1,1674,30.8,0,0
303.6,312.1,1967,20.9,2,0
303.6,312.2,1696,30.7,5,0
303.6,312.1,1627,32.5,7,0
303.5,311.9,1405,45.6,10,0
303.5,311.9,1565,38.9,12,0
303.5,311.9,1493,38.7,14,0
303.4,311.8,1499,45.0,16,0
303.3,311.8,1692,30.6,18,0
303.4,311.8,2268,15.8,20,0
303.4,311.8,1438,58.9,22,0
303.5,311.9,1515,39.2,24,0
303.4,311.9,1491,38.2,26,0
303.5,312.0,1756,29.7,28,0
303.5,312.0,1366,54.5,30,1
303.5,312.0,1436,45.1,32,0
303.4,311.9,1377,41.6,34,1
303.4,311.9,1510,42.2,36,0
303.4,311.9,1419,50.9,39,0
303.3,311.8,1315,62.0,42,1
303.3,311.8,1806,27.7,44,0
303.3,311.8,1649,29.4,49,0
303.4,311.9,1402,50.0,54,0
303.4,311.9,1298,63.9,59,1
303.3,311.8,1441,44.9,61,0
303.3,311.8,1489,49.4,64,0
303.3,311.8,1842,24.5,67,0
303.4,311.8,1316,50.9,69,1
303.3,311.8,1583,33.3,72,0
303.3,311.8,1548,33.5,75,0
303.4,311.9,1434,44.6,78,0
303.5,312.0,1397,52.9,80,0
303.5,312.0,1475,42.9,85,0
303.5,312.0,1441,56.8,88,0
303.7,312.1,1363,51.8,90,1
303.7,312.2,1619,34.9,92,0
303.7,312.2,1487,34.0,94,0
303.7,312.2,1568,33.8,96,0
303.7,312.3,1375,46.2,98,0
303.6,312.3,1698,31.3,100,0
303.7,312.3,1606,37.4,103,0
303.7,312.3,1349,51.0,105,0
303.7,312.4,1535,38.6,107,0
303.6,312.4,1504,49.5,109,0
303.5,312.3,1946,21.1,112,0
303.5,312.1,1326,55.7,114,0
303.6,312.3,1915,22.3,116,0
303.6,312.3,1451,43.4,119,0
303.5,312.3,1624,34.8,121,0
303.6,312.4,1781,28.7,124,0
303.6,312.5,1345,54.1,126,0
303.6,312.4,1418,46.0,128,0
303.7,312.4,1718,26.5,130,0
303.7,312.4,1631,28.5,132,0
303.7,312.4,1513,40.1,135,0
303.7,312.4,1316,59.3,137,0
303.7,312.4,1474,38.8,139,0
303.8,312.5,1619,30.9,142,0
303.7,312.4,1702,31.2,144,0
303.7,312.4,1540,37.4,146,0
303.7,312.4,1546,33.7,149,0
303.7,312.4,1348,51.0,152,0
303.7,312.5,1520,35.6,154,0
303.8,312.6,1527,41.9,159,0
303.8,312.6,1406,47.1,162,0
303.7,312.5,1462,46.2,165,0
303.8,312.6,1684,29.3,167,0
303.8,312.5,1655,28.0,170,0
303.8,312.5,1748,25.1,175,0
303.8,312.5,1372,45.7,180,0
303.7,312.5,1481,33.3,182,0
303.7,312.4,1512,39.2,184,0
303.7,312.5,1632,36.6,186,0
303.7,312.4,1525,43.9,188,0
303.7,312.3,1756,26.4,190,0
303.7,312.3,1922,23.1,193,0
303.8,312.5,1448,44.3,195,0
303.8,312.5,1447,46.6,198,0
303.8,312.4,1597,33.4,203,0
303.7,312.4,1642,32.3,206,0
303.8,312.5,1525,38.0,209,0
303.6,312.4,1460,53.7,214,0
303.6,312.3,2168,17.7,219,0
303.6,312.4,1388,41.9,221,0
303.6,312.3,1630,32.4,223,0
303.6,312.3,1616,29.3,226,0
303.6,312.4,2232,16.8,0,0
303.6,312.4,1480,50.7,2,0
303.6,312.4,1363,53.1,7,0
303.6,312.4,1436,45.6,9,0
303.6,312.5,1607,33.7,14,0
303.6,312.5,1459,48.2,17,0
303.5,312.4,1481,43.7,20,0
303.5,312.4,1606,31.7,22,0
303.5,312.3,1681,29.8,25,0
303.5,312.2,1511,37.1,27,0
303.5,312.3,1593,35.2,29,0
303.5,312.3,1532,41.7,32,0
303.5,312.3,1386,49.0,35,0
303.4,312.3,1769,27.9,40,0
303.4,312.2,1561,38.2,45,0
303.3,312.2,1457,40.7,48,0
303.3,312.2,1506,40.0,50,0
303.4,312.2,1337,69.4,52,1
303.4,312.3,1287,54.8,54,0
303.4,312.2,1615,35.7,56,0
303.4,312.2,1972,23.5,59,0
303.4,312.3,1522,42.1,62,0
303.4,312.3,1680,30.6,67,0
303.4,312.3,1502,36.0,69,0
303.5,312.3,1543,33.3,71,0
303.5,312.3,1584,35.2,74,0
303.5,312.4,1340,44.5,76,0
303.4,312.3,1663,33.9,78,0
303.3,312.1,1693,30.0,80,0
303.3,312.1,1418,44.7,83,0
303.4,312.2,1554,36.8,85,0
303.4,312.2,1580,35.8,90,0
303.4,312.3,1479,42.8,92,0
303.5,312.4,1284,70.6,94,1
303.4,312.3,1540,38.7,96,0
303.5,312.4,1606,30.1,98,0
303.6,312.5,1286,62.4,101,0
303.6,312.6,1502,39.5,103,0
303.6,312.7,1699,31.5,105,0
303.5,312.6,1602,34.2,108,0
303.6,312.6,1436,42.0,110,0
303.6,312.7,1765,27.5,115,0
303.6,312.7,1418,44.1,118,0
303.7,312.7,1669,31.7,120,0
303.7,312.7,1395,53.9,123,0
303.8,312.7,1500,41.7,125,0
303.8,312.7,1555,33.4,128,0
303.8,312.7,1919,20.2,131,0
303.8,312.7,1596,36.6,134,0
303.8,312.7,1374,53.6,136,0
303.7,312.5,1670,26.1,139,0
303.7,312.6,1702,29.1,141,0
303.8,312.5,1366,45.1,143,0
303.8,312.5,2344,15.2,146,0
303.8,312.6,1768,23.9,149,0
303.8,312.5,1523,47.0,152,0
303.8,312.6,1735,25.9,154,0
303.9,312.7,1339,62.3,156,0
303.9,312.7,1800,24.3,158,0
304.0,312.7,1456,51.2,160,0
303.9,312.7,1789,24.4,163,0
303.9,312.7,1602,33.9,165,0
303.8,312.7,1364,49.3,167,0
303.8,312.6,1793,28.1,170,0
303.9,312.6,1426,53.4,172,0
303.9,312.7,1485,43.3,174,0
303.9,312.7,1528,38.4,177,0
303.8,312.6,1565,36.0,179,0
303.8,312.7,1838,27.8,181,0
303.8,312.6,1811,24.9,183,0
303.8,312.7,1461,38.2,188,0
303.8,312.7,1414,41.7,190,0
303.7,312.7,1426,45.5,192,0
303.7,312.7,1359,56.8,194,1
303.7,312.7,1540,44.8,196,0
303.6,312.7,1429,47.7,198,0
303.7,312.7,1612,36.3,200,0
303.7,312.8,1685,31.8,203,0
303.7,312.8,1558,37.7,206,0
303.7,313.0,1811,24.3,209,0
303.8,313.1,1869,25.8,211,0
303.8,313.1,1256,58.7,213,1
303.8,313.0,1789,23.5,215,0
303.7,312.9,1502,40.5,0,0
303.7,313.0,1303,54.4,2,0
303.8,313.1,2497,13.0,5,1
303.9,313.2,1499,37.4,7,0
303.9,313.2,1393,46.5,9,0
303.9,313.0,1475,41.0,11,0
303.8,312.9,1573,34.6,14,0
303.8,312.9,1819,23.7,16,0
303.5,312.6,1642,29.4,18,0
303.6,312.6,1540,39.8,21,0
303.6,312.8,1400,43.2,23,0
303.6,312.8,2659,11.4,26,1
303.6,312.8,1825,25.2,29,0
303.7,312.9,1532,41.3,32,0
303.7,312.8,1832,23.6,35,0
303.6,312.7,2174,17.6,37,0
303.7,312.8,1627,31.7,40,0
303.7,312.8,1437,51.3,42,0
303.7,312.8,1364,46.3,44,0
303.7,312.9,1444,52.7,46,0
303.7,312.8,1366,47.3,49,0
303.8,312.9,1442,48.3,52,0
303.7,312.8,1488,42.8,54,0
303.7,312.8,1523,40.7,59,0
303.7,312.8,1543,38.3,61,0
303.7,312.8,1634,33.8,63,0
303.8,312.9,1815,27.8,66,0
303.8,312.9,1594,35.2,69,0
303.8,313.0,1452,38.6,72,0
303.9,313.0,1759,28.4,74,0
303.9,313.0,1408,47.5,76,0
303.9,313.0,1483,45.0,78,0
303.9,313.0,1620,36.6,80,0
304.0,313.1,1466,39.5,83,0
304.1,313.1,1556,36.3,86,0
304.0,313.0,1350,61.1,88,0
304.0,313.1,1404,47.1,90,0
304.0,313.0,1575,34.5,92,0
303.9,313.1,1639,29.0,95,0
303.9,313.1,1473,42.8,97,0
303.9,313.2,1481,40.0,100,0
304.0,313.3,1294,54.6,102,0
303.9,313.2,1630,29.3,104,0
303.9,313.2,1624,39.8,107,0
303.9,313.1,1437,48.3,110,0
303.8,313.0,1514,45.0,113,0
304.0,313.1,1694,31.4,116,0
304.0,313.1,1564,50.9,119,0
303.9,313.1,1514,41.1,121,0
304.0,313.2,1500,40.6,124,0
304.0,313.2,1615,37.8,127,0
304.1,313.2,1586,41.1,129,0
304.1,313.3,1732,28.5,132,0
304.1,313.3,1689,32.5,134,0
304.1,313.2,1586,34.6,139,0
304.0,313.2,1314,47.1,144,0
304.1,313.2,1569,35.8,146,0
304.1,313.2,1468,39.4,148,0
304.1,313.2,1412,47.5,150,0
304.1,313.2,1510,46.9,152,0
304.1,313.2,1410,42.4,155,0
304.1,313.3,1680,29.3,158,0
304.0,313.2,1271,68.6,161,1
304.0,313.1,1472,45.5,166,0
304.0,313.0,1701,30.4,171,0
303.9,313.0,1480,39.9,176,0
303.9,313.0,1433,48.4,178,0
303.8,312.9,1514,34.3,180,0
303.8,312.9,1619,35.7,182,0
303.8,312.9,1378,45.6,184,0
303.9,312.9,1430,53.5,189,0
303.8,312.9,1367,49.9,192,0
303.9,312.9,1526,42.5,194,0
303.9,312.8,1419,47.9,196,0
304.0,312.8,1542,42.7,198,0
304.0,312.9,1363,62.5,200,1
304.0,312.9,1313,53.9,202,0
304.0,312.9,1495,46.6,0,0
304.0,313.0,1407,42.1,5,0
304.1,313.0,1566,37.2,7,0
304.1,313.1,1550,30.9,9,0
304.2,313.2,1396,50.5,11,0
304.3,313.3,1540,39.0,14,0
304.2,313.2,1380,48.7,17,0
304.2,313.1,1608,31.1,20,0
304.2,313.0,1442,40.9,23,0
304.1,313.0,1408,45.3,28,0
304.0,313.0,1454,46.8,30,0
304.1,313.1,1666,34.6,33,0
304.1,313.2,1366,46.6,35,0
304.2,313.2,1464,44.9,37,0
304.3,313.3,1775,24.9,39,0
304.3,313.4,1482,43.8,41,0
304.2,313.4,1411,54.8,44,0
304.2,313.3,1410,51.6,47,0
304.1,313.3,1494,39.0,49,0
304.1,313.2,1590,43.4,52,0
304.1,313.1,1327,54.1,57,0
304.1,313.1,1969,20.8,59,0
304.0,313.0,1377,56.0,61,0
304.0,313.0,1541,45.9,64,0
304.0,313.0,1685,28.2,66,0
304.0,313.1,1465,41.0,69,0
303.9,313.1,1483,47.2,71,0
303.9,313.2,1570,40.7,74,0
303.9,313.2,1345,48.2,77,0
303.9,313.2,1608,40.6,79,0
304.0,313.3,1415,52.8,82,0
304.1,313.5,1470,45.8,85,0
304.1,313.5,1428,39.9,88,0
304.2,313.5,1627,32.2,91,0
304.2,313.4,1457,49.4,96,0
304.2,313.4,1475,40.2,98,0
304.2,313.5,1438,50.1,100,0
304.2,313.5,1437,47.2,102,0
304.1,313.4,1518,42.4,105,0
304.1,313.5,1587,33.6,108,0
304.1,313.4,1399,43.7,111,0
304.1,313.5,1469,44.6,113,0
304.1,313.4,1374,56.6,115,0
304.0,313.3,1519,36.7,117,0
303.9,313.2,1540,44.4,119,0
303.9,313.3,1394,51.6,121,0
304.0,313.4,1389,45.8,123,0
304.0,313.5,1732,26.2,126,0
304.1,313.6,1556,37.4,129,0
304.1,313.6,1441,43.7,131,0
304.1,313.6,1382,46.7,134,0
304.2,313.8,1481,44.9,136,0
304.2,313.7,2113,18.4,139,0
304.2,313.8,1401,53.9,142,0
304.1,313.6,1611,31.4,144,0
304.2,313.6,1512,33.4,146,0
304.2,313.6,1411,46.0,149,0
304.2,313.6,1424,43.7,151,0
304.2,313.6,1469,40.0,154,0
304.2,313.5,1684,29.8,156,0
304.2,313.5,1532,41.3,161,0
304.2,313.5,1557,37.3,164,0
304.3,313.5,1416,48.1,167,0
304.3,313.5,1802,25.4,170,0
304.3,313.5,2245,15.1,172,0
304.2,313.4,1434,42.5,175,0
304.1,313.3,1725,28.3,177,0
304.2,313.3,1668,35.7,180,0
304.1,313.3,1452,43.9,182,0
304.1,313.3,1415,50.0,184,0
304.1,313.2,1824,25.8,186,0
304.1,313.3,1438,45.5,188,0
304.1,313.3,1883,24.5,190,0
304.2,313.4,1735,28.9,192,0
304.3,313.5,1464,36.7,194,0
304.3,313.6,1489,40.3,196,0
304.4,313.6,1510,38.9,199,0
304.3,313.6,1585,32.1,202,0
304.4,313.7,1509,35.0,205,1
304.4,313.6,1568,39.1,0,0
304.3,313.5,1525,42.0,2,0
304.4,313.7,1607,33.5,5,0
304.5,313.7,1670,32.9,7,0
304.4,313.6,1585,38.9,9,0
304.4,313.6,1569,38.4,11,0
304.4,313.6,1507,43.1,13,0
304.3,313.5,1452,41.5,15,0
304.3,313.5,1590,29.8,17,0
304.3,313.6,1409,56.0,19,0
304.3,313.5,2643,12.7,21,0
304.2,313.4,1644,31.7,23,0
304.2,313.4,1568,37.6,25,0
304.2,313.3,1625,37.3,27,0
304.2,313.4,1482,41.4,32,0
304.1,313.3,1397,49.6,34,0
304.1,313.3,1459,50.3,39,0
304.2,313.4,1490,44.0,41,0
304.1,313.2,1434,50.1,43,0
304.1,313.2,2028,18.9,45,0
304.2,313.3,1464,45.9,48,0
304.2,313.4,1713,23.5,50,0
304.3,313.4,1624,32.1,53,0
304.2,313.4,1421,43.4,56,0
304.2,313.5,1546,41.4,58,0
304.2,313.4,1639,32.7,63,0
304.1,313.4,1696,29.6,65,0
304.1,313.3,1470,39.9,70,0
304.1,313.3,1480,38.4,72,0
304.2,313.4,1329,54.5,75,0
304.2,313.4,1740,28.2,78,0
304.2,313.5,1739,28.1,80,0
304.2,313.5,1390,47.8,83,0
304.2,313.4,1740,23.7,86,0
304.0,313.3,1844,27.1,88,0
304.0,313.1,1388,53.2,91,0
304.0,313.2,1517,43.1,96,0
304.0,313.1,1450,42.8,101,0
304.0,313.2,1584,38.7,104,0
304.0,313.1,1720,28.7,106,0
303.9,313.1,1586,31.9,108,0
303.9,313.0,1901,22.5,110,0
304.0,313.0,1397,42.4,113,0
304.0,313.0,2012,21.1,115,0
304.0,313.0,2354,15.0,117,0
304.0,313.1,1648,35.7,119,0
304.0,313.2,1632,30.6,121,0
304.1,313.2,1427,46.9,123,0
304.1,313.2,1452,48.0,126,0
304.0,313.2,1416,46.0,128,0
303.9,313.1,1310,62.9,130,0
304.0,313.1,1408,39.8,132,0
303.9,313.1,1668,34.4,137,0
303.9,313.0,1551,36.8,140,0
303.9,313.0,1517,36.0,142,0
303.8,312.9,1570,35.8,147,0
303.8,312.8,1428,53.3,152,0
303.8,312.8,1503,40.0,154,0
303.8,312.8,1416,58.7,156,0
303.7,312.7,1396,47.3,158,0
303.7,312.7,1335,51.1,161,0
303.7,312.6,1671,30.5,163,0
303.7,312.7,1989,22.4,166,0
303.7,312.7,1468,43.3,168,0
303.7,312.6,1711,27.6,170,0
303.8,312.7,1488,41.3,175,0
303.8,312.7,1664,29.3,178,0
303.8,312.7,1507,38.5,180,0
303.7,312.6,1466,42.5,183,0
303.7,312.5,1433,53.6,185,0
303.7,312.5,1397,45.7,187,0
303.7,312.6,1429,43.3,189,0
303.7,312.7,1572,37.2,192,0
303.7,312.7,1532,42.7,194,0
303.7,312.7,1316,51.8,197,0
303.8,312.8,1420,47.9,200,0
303.8,312.9,1589,37.2,203,0
303.8,313.0,1365,59.9,205,1
303.8,313.0,1633,32.9,207,0
303.9,313.0,1626,31.4,209,0
303.9,313.1,1665,29.6,0,0
303.9,313.2,1350,47.2,2,0
303.9,313.2,1590,31.9,5,0
304.0,313.2,1437,53.9,7,0
303.9,313.0,1403,48.3,10,0
303.9,313.1,1440,41.1,12,0
303.9,313.1,1343,61.4,14,0
303.9,313.1,1790,26.7,17,0
303.8,313.1,2117,18.6,22,0
303.8,313.1,1458,42.2,25,0
303.6,312.9,1381,57.8,27,0
303.6,312.9,1450,45.3,29,0
303.7,312.9,1461,50.1,31,0
303.7,312.9,1511,41.0,33,0
303.8,313.1,1394,45.4,36,0
303.8,313.0,1499,42.3,38,0
303.7,313.0,1457,44.1,40,0
303.7,313.0,1753,29.0,42,0
303.7,313.0,1694,28.0,44,0
303.7,313.1,1683,28.4,46,0
303.7,313.1,1496,47.4,48,0
303.7,313.1,1721,34.8,50,0
303.6,313.0,1593,31.6,52,0
303.6,313.0,1575,38.3,54,0
303.5,313.0,1465,41.0,56,0
303.6,313.1,1405,38.3,58,0
303.5,313.0,1902,21.6,60,0
303.4,312.9,1422,39.9,63,0
303.5,312.9,1332,52.9,66,0
303.4,312.9,1307,54.3,68,0
303.5,313.0,1322,59.5,71,0
303.5,313.0,1547,40.3,73,0
303.5,313.1,1897,23.6,75,0
303.5,313.0,1403,51.9,77,0
303.5,313.0,1393,51.6,80,0
303.5,313.0,1482,38.5,82,0
303.5,312.9,1572,44.7,84,0
303.5,312.9,1544,36.9,87,0
303.5,313.0,1492,46.1,89,0
303.4,312.8,1513,35.8,92,0
303.4,312.8,1449,43.9,94,0
303.5,312.8,1877,22.3,96,0
303.4,312.8,1376,53.4,98,0
303.5,312.9,1883,23.3,100,0
303.4,312.8,1518,38.7,103,0
303.5,312.9,1438,42.8,106,0
303.4,312.9,1389,54.1,109,0
303.5,312.9,1504,44.8,111,0
303.5,312.9,1275,64.4,113,0
303.6,313.0,1534,39.7,115,0
303.6,313.0,1396,38.2,117,0
303.6,313.1,1395,44.1,120,0
303.6,313.0,1617,30.9,122,0
303.7,313.1,1423,41.2,124,0
303.5,313.0,1606,34.0,126,0
303.5,312.9,1501,44.0,128,0
303.5,312.9,1618,30.4,130,0
303.6,313.0,1522,35.8,133,0
303.6,312.9,1480,41.4,135,0
303.7,313.0,1469,39.9,137,0
303.8,313.2,1381,52.4,140,0
303.8,313.2,1525,41.9,145,0
303.8,313.2,1732,29.6,147,0
303.8,313.1,1523,39.8,150,0
303.8,313.1,1422,42.4,152,0
303.8,313.2,1506,46.9,154,0
303.8,313.2,1531,39.4,159,0
303.9,313.3,1507,34.3,161,0
303.9,313.3,1526,40.7,164,0
303.8,313.3,1406,52.1,166,0
303.9,313.3,1567,35.0,168,0
303.9,313.4,1464,49.1,171,0
303.9,313.4,1442,48.5,174,0
303.8,313.2,1336,47.8,176,0
303.8,313.2,1379,50.2,178,0
303.7,313.1,1406,48.6,183,0
303.7,313.1,2130,18.1,185,0
303.7,313.1,1355,49.1,188,0
303.8,313.2,1710,26.5,190,0
303.8,313.1,1309,55.8,193,0
303.9,313.1,1491,37.2,195,0
303.9,313.2,1481,44.1,197,0
303.9,313.1,1425,49.3,199,0
303.9,313.2,1680,29.1,201,0
304.0,313.2,1612,31.7,206,0
304.0,313.3,1530,34.8,211,0
304.0,313.2,1481,42.6,213,0
303.9,313.2,1422,48.0,215,1
303.8,313.0,1427,43.0,0,0
303.7,312.9,1460,49.8,2,0
303.6,312.9,1873,23.5,7,0
303.7,312.9,1566,32.6,9,0
303.6,312.8,1701,30.8,12,0
303.6,312.8,1710,27.2,14,0
303.6,312.8,1689,33.1,16,0
303.6,312.7,1637,32.9,19,0
303.5,312.6,1496,39.0,21,0
303.5,312.7,1402,47.0,23,0
303.4,312.7,1363,45.5,26,0
303.4,312.7,1576,49.9,28,0
303.4,312.7,1357,55.3,31,0
303.4,312.7,1399,48.4,34,0
303.4,312.8,1526,30.8,37,0
303.5,312.7,1694,27.3,40,0
303.5,312.7,1420,49.1,42,0
303.5,312.7,2116,16.7,45,0
303.7,312.9,1406,41.9,48,0
303.7,313.0,1456,45.5,51,0
303.6,312.9,1588,31.9,53,0
303.7,312.8,1448,44.5,55,0
303.6,312.7,1403,46.2,57,0
303.5,312.6,1405,51.6,62,0
303.4,312.6,2706,9.8,65,1
303.3,312.4,1505,38.9,68,0
303.2,312.4,1663,33.7,71,0
303.3,312.6,1482,44.4,73,0
303.3,312.5,1674,32.7,76,0
303.4,312.7,1594,32.8,79,0
303.5,312.7,1393,49.3,82,0
303.5,312.8,1404,55.8,84,0
303.5,312.8,1375,45.7,89,0
303.5,312.8,1607,38.4,92,0
303.4,312.8,1360,50.8,94,0
303.5,312.8,1524,39.4,96,0
303.4,312.7,1534,35.5,98,0
303.3,312.7,1262,63.8,100,0
303.3,312.6,1623,34.6,102,0
303.3,312.7,1642,33.6,104,0
303.4,312.8,1622,35.1,107,0
303.5,312.9,1530,34.5,110,0
303.4,312.8,1590,36.3,113,0
303.4,312.7,1589,34.0,116,0
303.4,312.6,1462,37.5,118,0
303.3,312.5,1328,49.8,120,0
303.3,312.6,1692,29.0,125,0
303.3,312.5,1968,20.6,130,0
303.3,312.6,1827,24.2,132,0
303.3,312.6,1397,47.1,137,0
303.3,312.6,1463,44.0,140,0
303.3,312.7,1643,30.7,142,0
303.2,312.6,1281,57.0,144,0
303.2,312.5,1518,39.9,146,0
303.2,312.6,1601,35.3,148,0
303.1,312.6,1548,36.4,150,0
303.1,312.6,1404,40.6,152,0
303.1,312.5,1766,26.7,157,0
303.1,312.5,1667,30.0,160,0
303.0,312.5,1507,37.9,163,0
303.0,312.4,1627,37.1,168,0
302.9,312.3,1435,47.7,173,0
302.9,312.3,1509,46.8,175,0
302.9,312.3,1809,25.0,180,0
302.9,312.3,1515,40.8,183,0
302.9,312.3,1530,34.9,185,0
302.8,312.3,1336,57.5,187,0
302.9,312.4,2030,19.1,192,0
302.9,312.4,1550,36.9,194,0
302.9,312.4,1446,41.7,196,0
302.8,312.3,1494,37.5,198,0
302.8,312.4,1651,27.0,200,0
302.9,312.4,1698,33.8,202,0
302.8,312.3,1504,40.3,204,0
302.9,312.4,1421,46.0,206,0
302.9,312.3,1754,26.9,209,0
302.9,312.2,1469,42.0,214,0
302.8,312.2,1433,50.0,216,0
302.8,312.3,1432,49.0,218,0
302.8,312.3,1366,49.1,221,0
302.8,312.3,1483,47.2,223,0
302.7,312.2,1572,34.4,228,0
302.8,312.2,1481,40.2,230,0
302.8,312.3,1473,42.6,232,0
302.8,312.3,1262,70.5,234,1
302.8,312.4,1529,36.8,237,0
302.8,312.4,1523,39.7,239,0
302.8,312.3,1416,42.7,241,0
302.9,312.4,1923,23.9,244,0
302.8,312.4,1411,53.8,246,1
302.7,312.4,1477,46.3,251,1
302.6,312.3,1454,54.8,253,1
302.7,312.3,1421,48.5,0,0
302.7,312.3,1858,25.4,2,0
302.8,312.5,1422,46.1,4,0
302.7,312.4,1444,48.7,9,0
302.7,312.4,1360,47.8,11,0
302.7,312.4,1954,24.8,13,0
302.6,312.4,1628,33.0,15,0
302.7,312.4,1433,44.2,17,0
302.7,312.5,1417,51.5,19,0
302.8,312.6,1462,39.4,22,0
302.9,312.6,1328,59.9,24,0
302.7,312.5,1527,36.4,26,0
302.6,312.3,1534,34.3,31,0
302.6,312.4,1410,50.3,33,0
302.6,312.3,1660,30.3,36,0
302.6,312.4,1386,45.8,38,0
302.6,312.4,1398,41.6,40,0
302.6,312.3,1321,53.4,42,0
302.6,312.3,1512,34.2,44,0
302.6,312.3,1566,36.6,46,0
302.7,312.4,1422,44.5,49,0
302.6,312.3,1647,31.8,52,0
302.6,312.2,1377,45.5,54,0
302.5,312.2,1775,27.9,56,0
302.6,312.3,1554,42.0,58,0
302.7,312.4,1423,51.9,60,0
302.7,312.4,1453,47.3,62,0
302.8,312.4,1590,34.4,64,0
302.8,312.5,1694,28.4,66,0
302.8,312.5,1462,43.4,68,0
302.8,312.4,1392,46.2,70,0
302.9,312.5,1550,45.5,72,0
302.9,312.5,1629,30.4,74,0
303.0,312.5,1524,42.1,76,0
302.9,312.5,1679,30.9,79,0
302.9,312.6,1394,46.4,82,0
302.9,312.5,1683,32.1,85,0
303.0,312.5,1626,30.5,87,0
303.0,312.5,1698,30.0,89,0
303.0,312.6,1392,42.9,94,0
303.1,312.7,1353,51.8,97,0
